nome_aluno,sexo_aluno,idade_aluno,escola_aluno,escolaridade_aluno,curso,professor,data_matricula,concluiu_curso,respostas_corretas,avaliacao_curso
Carlos Oliveira Rodrigues,Masculino,18,Ceep Paulo Ferraz,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,02/03/2023,True,70,5
Beatriz Pereira Rodrigues,Feminino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,14/07/2023,True,100,2
Fernando Silva Silva,Masculino,19,Ceep Paulo Ferraz,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,04/06/2024,True,75,2
Carlos Rodrigues Santos,Masculino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,05/03/2024,True,88,4
Patrícia Costa Souza,Feminino,17,Ceep Paulo Ferraz,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,13/04/2024,True,94,5
Marcos Gomes Gomes,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,29/09/2023,True,81,5
Fernando Pereira Oliveira,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,09/01/2023,True,87,3
Lucas Pereira Santos,Masculino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,16/10/2023,True,92,4
Letícia Almeida Pereira,Feminino,21,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,11/10/2023,True,80,5
Juliana Almeida Carvalho,Feminino,20,Ceep Paulo Ferraz,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,19/03/2023,False,88,5
Fernando Gomes Carvalho,Masculino,16,Ceep Paulo Ferraz,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,12/11/2023,True,99,5
Fernando Souza Souza,Masculino,20,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,21/02/2024,False,95,3
Lucas Oliveira Rodrigues,Masculino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,16/11/2024,False,31,3
Rafael Silva Almeida,Masculino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,09/11/2023,False,29,3
Rafael Costa Pereira,Masculino,21,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,18/10/2024,True,91,5
Maria Santos Pereira,Feminino,16,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,22/04/2023,True,81,5
Fernanda Gomes Carvalho,Feminino,15,Ceep Paulo Ferraz,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,15/02/2023,False,0,4
Fernando Rodrigues Santos,Masculino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,07/01/2025,False,64,4
Amanda Rodrigues Pereira,Feminino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,11/11/2024,False,86,5
Daniel Gomes Pereira,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,21/10/2023,True,95,4
Beatriz Almeida Almeida,Feminino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,05/11/2024,True,86,5
Ana Souza Pereira,Feminino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,17/02/2023,True,85,5
Marcos Rodrigues Gomes,Masculino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,14/02/2024,True,90,5
Rafael Souza Oliveira,Masculino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,24/07/2024,True,97,2
Marcos Carvalho Carvalho,Masculino,19,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,12/03/2024,False,70,4
Marcos Almeida Pereira,Masculino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,11/05/2024,True,78,4
Patrícia Pereira Costa,Feminino,17,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,04/06/2023,True,92,3
Pedro Rodrigues Rodrigues,Masculino,17,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,05/03/2023,True,83,4
Daniel Rodrigues Almeida,Masculino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,05/03/2024,True,93,4
Marcos Souza Pereira,Masculino,18,Ceep Paulo Ferraz,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,11/12/2023,True,95,4
Marcos Oliveira Gomes,Masculino,19,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,27/03/2023,True,74,5
João Pereira Rodrigues,Masculino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,12/12/2023,False,48,3
Camila Santos Almeida,Feminino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,18/08/2023,True,94,5
João Souza Souza,Masculino,21,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,10/05/2023,True,73,4
Marcos Pereira Costa,Masculino,16,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,15/11/2023,True,70,5
Fernanda Souza Santos,Feminino,19,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,14/12/2024,False,87,5
Daniel Silva Costa,Masculino,19,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,02/06/2024,True,70,5
Ana Rodrigues Costa,Feminino,20,Ceep Paulo Ferraz,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,30/06/2023,False,83,3
Beatriz Rodrigues Gomes,Feminino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,13/10/2023,False,31,5
Amanda Silva Almeida,Feminino,21,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,06/08/2023,True,78,4
Letícia Silva Carvalho,Feminino,16,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,15/05/2024,True,77,5
Beatriz Silva Santos,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,10/11/2023,True,81,4
Fernanda Carvalho Costa,Feminino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,10/11/2023,True,73,5
Ana Carvalho Oliveira,Feminino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,11/01/2025,True,94,4
Ana Souza Pereira,Feminino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,15/01/2023,False,16,3
Antônio Pereira Oliveira,Masculino,20,Ceep Paulo Ferraz,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,10/08/2024,True,85,4
João Pereira Almeida,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,17/03/2023,True,91,2
Daniel Pereira Santos,Masculino,16,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,19/06/2024,True,99,4
Camila Gomes Gomes,Feminino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,02/10/2024,True,91,2
Lucas Carvalho Santos,Masculino,16,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,06/12/2024,True,79,1
Camila Almeida Santos,Feminino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,11/03/2024,True,77,5
Juliana Santos Silva,Feminino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,08/05/2023,True,79,5
Letícia Carvalho Almeida,Feminino,18,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,22/01/2025,True,78,1
Daniel Gomes Silva,Masculino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,29/06/2023,True,90,4
Juliana Gomes Rodrigues,Feminino,20,Ceep Paulo Ferraz,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,23/12/2023,True,80,5
Fernando Rodrigues Almeida,Masculino,17,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,07/02/2023,True,80,3
Rafael Carvalho Silva,Masculino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,25/02/2023,True,81,5
Beatriz Silva Souza,Feminino,17,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,24/03/2024,False,62,2
Lucas Pereira Carvalho,Masculino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,19/08/2023,False,14,4
Lucas Almeida Pereira,Masculino,19,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,09/05/2024,False,31,4
Rafael Souza Gomes,Masculino,19,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,10/10/2023,False,53,4
Maria Pereira Pereira,Feminino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,02/04/2024,True,81,4
Beatriz Costa Souza,Feminino,20,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,25/02/2024,True,93,4
Fernanda Oliveira Almeida,Feminino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,26/03/2024,True,99,4
Rafael Oliveira Santos,Masculino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,27/10/2024,True,80,5
Amanda Almeida Carvalho,Feminino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,08/10/2024,True,79,5
Rafael Santos Santos,Masculino,18,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,17/02/2023,True,71,3
Fernanda Oliveira Souza,Feminino,19,Ceep Paulo Ferraz,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,29/06/2023,True,97,4
Marcos Gomes Oliveira,Masculino,16,Ceep Paulo Ferraz,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,19/09/2023,True,98,5
Letícia Oliveira Santos,Feminino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,07/12/2024,True,97,4
Beatriz Santos Souza,Feminino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,17/12/2024,True,96,5
Maria Gomes Silva,Feminino,19,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,24/08/2023,True,81,3
Daniel Pereira Oliveira,Masculino,20,U E de Ensino Médio Vila Maria,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,27/03/2024,True,81,5
Gabriel Costa Rodrigues,Masculino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,10/01/2024,True,99,3
Gabriel Almeida Pereira,Masculino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,19/03/2023,True,100,3
Letícia Costa Santos,Feminino,21,Ceep Paulo Ferraz,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,03/07/2024,True,81,5
Isabela Rodrigues Costa,Feminino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,26/01/2023,True,100,4
Pedro Almeida Pereira,Masculino,20,Ceep Paulo Ferraz,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,16/02/2023,False,38,5
Pedro Souza Carvalho,Masculino,16,Ceep Paulo Ferraz,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,17/11/2024,False,89,5
Isabela Oliveira Rodrigues,Feminino,20,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,14/10/2023,True,81,3
Patrícia Costa Santos,Feminino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,12/02/2024,True,100,2
Ana Souza Gomes,Feminino,15,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,09/05/2023,False,26,2
Daniel Souza Souza,Masculino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,29/05/2023,False,69,3
Pedro Silva Oliveira,Masculino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,17/01/2023,True,71,2
Letícia Santos Santos,Feminino,18,Ceep Paulo Ferraz,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,30/08/2024,True,86,3
Antônio Pereira Almeida,Masculino,20,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,16/02/2024,True,73,4
Ana Santos Costa,Feminino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,09/10/2023,True,88,4
Fernanda Gomes Carvalho,Feminino,17,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,19/12/2024,True,90,5
Rafael Almeida Souza,Masculino,18,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,01/03/2024,False,40,4
Amanda Oliveira Almeida,Feminino,15,U E de Ensino Médio Vila Maria,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,18/03/2024,True,93,4
Antônio Silva Gomes,Masculino,19,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,25/02/2024,True,91,5
Maria Pereira Gomes,Feminino,17,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,06/08/2023,True,85,3
Fernando Carvalho Costa,Masculino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,28/07/2024,False,79,5
Daniel Pereira Silva,Masculino,16,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,26/12/2023,True,97,2
Ana Oliveira Silva,Feminino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,05/03/2024,True,75,4
Isabela Gomes Santos,Feminino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,21/11/2024,True,84,5
Isabela Almeida Rodrigues,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,16/03/2024,True,91,5
Letícia Pereira Silva,Feminino,16,Ceep Paulo Ferraz,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,29/07/2023,True,76,5
Camila Costa Santos,Feminino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,13/05/2023,True,92,3
Ana Rodrigues Silva,Feminino,18,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,17/11/2023,True,88,4
Camila Santos Rodrigues,Feminino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,07/12/2024,False,11,4
Carlos Rodrigues Gomes,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,14/11/2023,False,28,4
Pedro Carvalho Santos,Masculino,19,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,26/12/2023,False,82,5
Pedro Oliveira Pereira,Masculino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA Generativa de Imagens,Fábio Andrade,01/07/2023,False,80,4
Isabela Gomes Costa,Feminino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,26/03/2024,True,84,5
Isabela Silva Costa,Feminino,19,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,07/04/2024,True,81,5
Pedro Gomes Gomes,Masculino,19,Ceep Paulo Ferraz,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,26/01/2025,False,57,5
Fernando Gomes Almeida,Masculino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,16/04/2023,False,43,5
Antônio Oliveira Silva,Masculino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,20/06/2024,True,75,4
Fernanda Rodrigues Costa,Feminino,20,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,09/03/2023,True,87,5
Camila Gomes Oliveira,Feminino,17,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,14/11/2023,False,89,5
Daniel Santos Pereira,Masculino,19,Ceep Paulo Ferraz,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,17/11/2024,False,94,5
Rafael Carvalho Costa,Masculino,15,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,IA Generativa de Videos,Fábio Andrade,08/08/2023,True,94,4
Lucas Oliveira Santos,Masculino,17,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,24/09/2024,True,82,3
Daniel Oliveira Almeida,Masculino,15,Ceep Paulo Ferraz,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,30/03/2024,True,94,5
Patrícia Carvalho Souza,Feminino,17,Ceep Paulo Ferraz,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,25/11/2024,False,56,4
Fernanda Carvalho Carvalho,Feminino,18,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,14/09/2023,True,85,5
Antônio Santos Pereira,Masculino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,09/06/2024,True,83,2
Marcos Costa Silva,Masculino,18,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,18/01/2024,True,72,4
Fernando Santos Costa,Masculino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Engenharia de Prompts para IA Generativa,Fábio Andrade,21/10/2023,False,60,5
Marcos Almeida Gomes,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,09/08/2023,False,70,5
Ana Pereira Souza,Feminino,17,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,05/03/2024,True,89,4
Marcos Gomes Carvalho,Masculino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,26/10/2023,True,89,4
Juliana Santos Carvalho,Feminino,17,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,26/04/2024,True,82,5
Maria Costa Santos,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,17/05/2023,True,87,4
Marcos Almeida Oliveira,Masculino,21,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,07/02/2023,True,71,5
Fernando Pereira Carvalho,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,07/02/2023,False,24,3
Fernando Pereira Santos,Masculino,21,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,31/01/2025,True,100,4
Marcos Almeida Costa,Masculino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,14/01/2025,True,83,5
Antônio Pereira Costa,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,10/11/2023,True,92,4
Amanda Almeida Silva,Feminino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,16/10/2024,False,7,2
Amanda Carvalho Oliveira,Feminino,15,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,10/05/2023,True,94,5
Fernanda Gomes Silva,Feminino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,16/01/2024,True,72,4
Fernanda Costa Pereira,Feminino,16,U E de Ensino Médio Vila Maria,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,26/05/2024,True,99,4
Camila Almeida Souza,Feminino,19,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,06/05/2023,True,72,4
Ana Costa Costa,Feminino,20,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,11/06/2023,False,89,5
Letícia Souza Santos,Feminino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a IA com scikit-learn,Carlos Cunha,27/01/2023,True,88,4
